date,pnl_usd
2025-03-03,-31.77
2025-03-15,65.38
2025-03-25,-30.17
2025-03-27,-29.66
2025-04-15,-30.91
2025-04-22,53.26
2025-04-23,-29.94
2025-05-09,53.34
2025-05-23,-31.10
2025-05-28,-30.90
2025-05-29,-27.81
2025-07-09,64.47
2025-07-12,-27.14
2025-07-14,-29.44
2025-07-27,53.45
2025-08-05,-28.27
2025-08-11,62.13
2025-08-18,-31.57
2025-09-10,-26.94
2025-09-12,58.19
2025-09-15,-27.26
2025-09-18,66.76
2025-09-20,65.18
2025-10-02,68.73
2025-10-28,-32.46
2025-11-30,-30.88
2025-12-23,-31.79
2025-12-29,-27.42
2026-01-02,59.10
2026-01-08,-27.99
2026-01-14,-31.15
2026-01-19,-32.12
2026-01-29,-30.45
